shum=0.000000
kp=4.000000 | MO1=4.000000 | SKO1=0 | SKO_P=0 | T=65.517122
kp=4.200000 | MO1=4.200000 | SKO1=8.795114E-14 | SKO_P=2.094075E-12 | T=138.155953
kp=4.400000 | MO1=4.397193 | SKO1=3.287063E-14 | SKO_P=7.470597E-13 | T=202.635109
kp=4.600000 | MO1=4.600029 | SKO1=1.154914E-14 | SKO_P=2.510682E-13 | T=275.907070
kp=4.800000 | MO1=4.799715 | SKO1=5.330372E-14 | SKO_P=1.110494E-12 | T=364.147989
kp=5.000000 | MO1=5.000000 | SKO1=0 | SKO_P=0 | T=425.519888
shum=0.100000
kp=4.000000 | MO1=4.000054 | SKO1=2.970517E-03 | SKO_P=7.426292E-02 | T=485.787420
kp=4.200000 | MO1=4.199928 | SKO1=3.069439E-03 | SKO_P=7.308189E-02 | T=558.172178
kp=4.400000 | MO1=4.399919 | SKO1=3.177237E-03 | SKO_P=7.220993E-02 | T=621.817632
kp=4.600000 | MO1=4.600034 | SKO1=3.128381E-03 | SKO_P=6.800828E-02 | T=681.478962
kp=4.800000 | MO1=4.800022 | SKO1=3.059964E-03 | SKO_P=6.374925E-02 | T=740.948836
kp=5.000000 | MO1=4.999963 | SKO1=2.965182E-03 | SKO_P=5.930365E-02 | T=805.132069
shum=0.200000
kp=4.000000 | MO1=4.000093 | SKO1=5.463529E-03 | SKO_P=1.365882E-01 | T=882.821328
kp=4.200000 | MO1=4.200052 | SKO1=5.551696E-03 | SKO_P=1.321832E-01 | T=948.373802
kp=4.400000 | MO1=4.399952 | SKO1=5.336207E-03 | SKO_P=1.212774E-01 | T=1009.699907
kp=4.600000 | MO1=4.600131 | SKO1=5.501963E-03 | SKO_P=1.196079E-01 | T=1069.530333
kp=4.800000 | MO1=4.799907 | SKO1=5.424894E-03 | SKO_P=1.130186E-01 | T=1129.531202
kp=5.000000 | MO1=5.000014 | SKO1=5.536261E-03 | SKO_P=1.107252E-01 | T=1189.938350
